 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Length
188,ddd-1.png:0443-0391,0.000,81,81,50.217,49.752,50.155,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
189,ddd-1.png:0443-0391,0.000,87,87,50.310,49.752,50.279,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
190,ddd-1.png:0443-0391,0.000,87,87,50.387,49.752,50.279,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
191,ddd-1.png:0443-0391,0.000,74,74,50.526,49.675,50.526,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
192,ddd-1.png:0443-0391,0.000,82,82,50.666,49.582,50.650,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
193,ddd-1.png:0443-0391,0.000,101,101,50.867,49.396,50.774,49.288,0.124,0.124,0.000,0.000,0.000,NaN,0
194,ddd-1.png:0443-0391,0.000,91,91,51.006,49.272,50.898,49.164,0.124,0.124,0.000,0.000,0.000,NaN,0
195,ddd-1.png:0443-0391,0.000,73,73,51.037,49.164,51.022,49.164,0.124,0.124,0.000,0.000,0.000,NaN,0
196,ddd-1.png:0443-0391,0.000,96,96,50.975,49.102,50.898,49.040,0.124,0.124,0.000,0.000,0.000,NaN,0
197,ddd-1.png:0443-0391,0.000,95,95,50.991,48.932,50.898,48.916,0.124,0.124,0.000,0.000,0.000,NaN,0
198,ddd-1.png:0443-0391,0.000,88,88,50.991,48.762,50.898,48.669,0.124,0.124,0.000,0.000,0.000,NaN,0
199,ddd-1.png:0443-0391,0.000,88,88,50.944,48.607,50.898,48.545,0.124,0.124,0.000,0.000,0.000,NaN,0
200,ddd-1.png:0443-0391,0.000,80,80,51.022,48.467,51.022,48.421,0.124,0.124,0.000,0.000,0.000,NaN,0
201,ddd-1.png:0443-0391,0.000,92,92,51.099,48.328,51.022,48.297,0.124,0.124,0.000,0.000,0.000,NaN,0
202,ddd-1.png:0443-0391,0.000,92,92,51.207,48.266,51.146,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
203,ddd-1.png:0443-0391,0.000,81,81,51.362,48.189,51.269,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
204,ddd-1.png:0443-0391,0.000,75,75,51.440,48.189,51.393,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
205,ddd-1.png:0443-0391,0.000,68,68,51.641,48.251,51.641,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
206,ddd-1.png:0443-0391,0.000,71,71,51.811,48.282,51.765,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
207,ddd-1.png:0443-0391,0.000,66,66,51.920,48.328,51.889,48.297,0.124,0.124,0.000,0.000,0.000,NaN,0
208,ddd-1.png:0443-0391,0.000,68,68,52.043,48.406,52.012,48.297,0.124,0.124,0.000,0.000,0.000,NaN,0
209,ddd-1.png:0443-0391,0.000,68,68,52.136,48.359,52.136,48.297,0.124,0.124,0.000,0.000,0.000,NaN,0
210,ddd-1.png:0443-0391,0.000,68,68,52.322,48.297,52.260,48.297,0.124,0.124,0.000,0.000,0.000,NaN,0
211,ddd-1.png:0443-0391,0.000,73,73,52.322,48.220,52.260,48.173,0.124,0.124,0.000,0.000,0.000,NaN,0
212,ddd-1.png:0443-0391,0.000,81,81,52.446,48.111,52.384,48.050,0.124,0.124,0.000,0.000,0.000,NaN,0
213,ddd-1.png:0443-0391,0.000,96,96,52.492,48.019,52.384,47.926,0.124,0.124,0.000,0.000,0.000,NaN,0
214,ddd-1.png:0443-0391,0.000,96,96,52.601,47.879,52.508,47.802,0.124,0.124,0.000,0.000,0.000,NaN,0
215,ddd-1.png:0443-0391,0.000,96,96,52.601,47.802,52.508,47.802,0.124,0.124,0.000,0.000,0.000,NaN,0
216,ddd-1.png:0443-0391,0.000,96,96,52.601,47.802,52.508,47.802,0.124,0.124,0.000,0.000,0.000,NaN,0
217,ddd-1.png:0443-0391,0.000,108,108,52.601,47.663,52.508,47.554,0.124,0.124,0.000,0.000,0.000,NaN,0
218,ddd-1.png:0443-0391,0.000,104,104,52.632,47.523,52.632,47.430,0.124,0.124,0.000,0.000,0.000,NaN,0
219,ddd-1.png:0443-0391,0.000,114,114,52.632,47.399,52.632,47.307,0.124,0.124,0.000,0.000,0.000,NaN,0
220,ddd-1.png:0443-0391,0.000,114,114,52.632,47.353,52.632,47.307,0.124,0.124,0.000,0.000,0.000,NaN,0
221,ddd-1.png:0443-0391,0.000,109,109,44.334,62.399,44.334,62.291,0.124,0.124,0.000,0.000,0.000,NaN,0
222,ddd-1.png:0443-0391,0.000,125,125,44.443,62.276,44.334,62.167,0.124,0.124,0.000,0.000,0.000,NaN,0
